Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Rosh Hashanah 18b:17,Wikisource Talmud Bavli,he,הכא במאי עסקינן בזמן שבית המקדש קיים,ngram,34.255367
1,--,Rashbam on Bava Batra 166a:7:1,Vilna Edition,he,המעון הזה - בבית המקדש נשבע:,ngram,35.663654
2,--,Rashi on Nazir 32b:1:3,Vilna Edition,he,ומצאו בית המקדש חרב - לאחר בית שני:,hebmorph-standard,86.99601
3,--,Temurah 8a:17,Wikisource Talmud Bavli,he,אלא לאו בזמן שבית המקדש קיים,ngram,32.634182
4,--,Rashi on Leviticus 19:30:1,On Your Way,he,"ומקדשי תיראו. לא יכנס בהר הבית לא במקלו ולא במנעלו ובאפונדתו ובאבק שעל רגליו ואף על פי שאני מזהירכם על המקדש, את שבתותי תשמרו אין בנין בית המקדש דוחה שבת:
",ngram,33.20784
5,--,Rashi on Nedarim 62a:5:1,Vilna Edition,he,פריצים - שהוציאו מבית המקדש:,hebmorph-standard,81.99497
6,m,Mefaresh on Tamid 28a:33:2,Vilna Edition,he,נכנס מבית המוקד לעזרה - דרך בית המוקד:,aggresive-ngram,82.70999
7,--,Metzudat David on Isaiah 66:23:3,On Your Way,he,"להשתחות לפני. בבית המקדש:
",hebmorph-standard,81.9743
8,--,Aramaic Targum to Psalms 30:1,Mikraot Gedolot,he,תושבחת שירתא על חנוכת בית מקדשא לדוד:,aggresive-ngram,82.72333
9,--,Menachot 68a:28,Wikisource Talmud Bavli,he,בזמן שבית המקדש קיים עומר מתיר בזמן שאין בית המקדש קיים האיר מזרח מתיר,hebmorph-standard,84.670845
10,--,Rashbam on Bava Batra 60b:8:1,Vilna Edition,he,אין מסיידין - בית משום אבל בית המקדש:,hebmorph-standard,86.9641
11,m,Bartenura on Mishnah Middot 1:8:1,On Your Way,he,"בית המוקד כיפה. בנין של בית המוקד לא היה עליה, אלא כיפה ארקוול״ט בלע״ז עשויה בארץ:",aggresive-ngram,77.9923
12,--,Malbim on Isaiah 2:3:3,On Your Way,he,"אל בית,  מן ההר נעלה אל בית המקדש ",infreq,30.683208
13,--,Rashi on Isaiah 32:14:3,On Your Way,he,עופל ובחן . בית מקדשי שהיה להם למבצר :,hebmorph-standard,86.9641
14,--,Sanhedrin 26b:14,Wikisource Talmud Bavli,he,אילו בית המקדש יהרס צדיק מה פעל,hebmorph-standard,97.512344
15,--,Bartenura on Mishnah Pesachim 3:8:2,On Your Way,he,אם עבר צופים. שם מקום שמשם רואים בית המקדש:,hebmorph-standard,77.533745
16,--,Gittin 4b:13,Wikisource Talmud Bavli,he,תינח בזמן שבית המקדש קיים בזמן שאין בית המקדש קיים מאי איכא למימר כיון דאיכא בתי דינין דקביעי מישכח שכיחי,ngram,34.256172
17,--,Rashi on Proverbs 30:26:2,On Your Way,he,"וישימו בסלע ביתם .שבנו בית המקדש:
",hebmorph-standard,86.94688
18,--,Menachot 98b:22,Wikisource Talmud Bavli,he,מר קא חשיב בית קדשי הקדשים בהדי היכל מר לא קא חשיב בית קדשי הקדשים בהדי היכל,hebmorph-standard,76.86011
