Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Ikar Tosafot Yom Tov on Mishnah Berakhot 9:5:2,On Your Way,he,וביצר רע. לשון הר''מ אפילו בשעת העברה והכעס והאף שכל זה הוא יצר רע:,hebmorph-standard,152.3132
1,--,Sforno on Genesis 39:12:1,On Your Way,he,וינס מן החדר פן יגבר עליו יצר הרע:,hebmorph-standard,170.98116
2,--,"Otzar Midrashim, Midrash Shelosha v'Arba'ah 1:7","Otzar Midrashim, New York, 1915",he,"ה׳) שלש מדות טובות ברא הקב״ה בעולמו, ואלו הן: יצר הרע, וקנאה, ורחמים. אם אין יצר הרע אין כל בריה מתעסק בפריה ורביה, אם אין קנאה אין כל בריה מתעסק בנטיעה, אם אין הרחמים אין העולם עומד.",hebmorph-standard,137.49773
3,--,Pirkei Avot 2:11,"Mishnah, ed. Romm, Vilna 1913",he,רבי יהושע אומר עין הרע. ויצר הרע. ושנאת הבריות. מוציאין את האדם מן העולם:,hebmorph-standard,182.67653
4,--,Rashi on Berakhot 33a:7:3,Vilna Edition,he,ביומי ניסן - מתוך שעברו ימי הסתיו שהארץ יבשה ועכשיו רואה אותה מלאה דשאים זחה דעתו עליו ונכנס בו יצר הרע:,original,17.389587
5,--,"Bekhor Shor, Numbers 6:26:2","Bekhor Shor, Breslau, 1900",he,"וישם לך שלום. שלא יתגרה בך יצר הרע ושטן ואומות העולם ושום פגע ושום מזיק:
",hebmorph-standard,136.66759
6,--,Bereishit Rabbah 9:7,Daat Bereshit Rabbah,he,"רבי נחמן בר שמואל בר נחמן בשם רב שמואל בר נחמן אמר: הנה טוב מאד, זה יצר טוב. והנה טוב מאד, זה יצר רע. וכי יצר הרע טוב מאד אתמהא?! אלא שאלולי יצר הרע, לא בנה אדם בית, ולא נשא אשה, ולא הוליד, ולא נשא ונתן. וכן שלמה אומר: (קהלת ד): כי היא קנאת איש מרעהו:",hebmorph-standard,127.540794
7,--,Rashi on Kiddushin 81a:13:2,Vilna Edition,he,אידמי ליה שטן - דהוא יצר הרע:,hebmorph-standard,204.5451
8,--,Chagigah 16a:15,William Davidson Edition - Aramaic,he,דרש רבי יהודה ברבי נחמני מתורגמניה דריש לקיש מאי דכתיב אל תאמינו ברע אל תבטחו באלוף אם יאמר לך יצר הרע חטוא והקדוש ברוך הוא מוחל אל תאמן שנאמר אל תאמינו ברע ואין רע אלא יצר הרע שנאמר כי יצר לב האדם רע,aggresive-ngram,44.188263
9,--,Zohar 1:144a:5,Torat Emet Zohar,he,"אתי בר נש לאתדכאה ולאשתדלא בפקודי דאורייתא, ההוא יצר טוב דאזדווג ביה, כבר איהו אתתקף על ההוא יצר הרע ואשתלים בהדיה ואתהפיך ליה לעבדא. וכד בר נש אזיל לאסתאבא, ההוא יצר הרע אתתקף ואתגבר על ההוא יצר טוב",infreq,30.1214
10,--,Rashi on Kiddushin 30b:8:1,Vilna Edition,he,מנוול זה - יצר הרע מתגרה בך:,hebmorph-standard,204.34407
11,--,Rashi on Avodah Zarah 4b:77:1,WikiSource Rashi,he,לבי חלל - יצר הרע חלל בקרבי ואין לו כח לשלוט בקרבי:,hebmorph-standard,136.66759
12,--,Sanhedrin 45a:20,Wikisource Talmud Bavli,he,גמירי אין יצר הרע שולט אלא במי שעיניו רואות,hebmorph-standard,191.72018
13,--,Rashi on Kiddushin 30a:1:1,Vilna Edition,he,הוה אמינא ליה לשטן גירא בעיניך - כלומר הייתי מתגרה בו ושטן הוא יצר הרע ולא אירא שיחטיאני:,original,17.389587
14,--,Sukkah 52b:8,William Davidson Edition - Aramaic,he,ישמעאלים דכתיב ישליו אהלים לשודדים ובטוחות למרגיזי אל לאשר הביא אלוה בידו יצר הרע דכתיב ואשר הרעתי,hebmorph-standard,142.78685
