Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,n,Rashi on I Samuel 14:4:2,On Your Way,he,"שן הסלע . שם שן האחד 'בוצץ' , ושם השני 'סנה' :
",hebmorph-standard,22.855015
1,m,Rashi on Bava Kamma 119b:19:4,Vilna Edition,he,היגא - סנה:,infreq,62.82677
2,n,"Tafsir Rasag, Genesis 5:9","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,ולמא עאש אנוש תסעין סנה אולד קינן,infreq,37.922245
3,n,"Tafsir Rasag, Genesis 5:8","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פצאר גמיע עמרה תסע מאיה ואתנתי עשרה סנה תם מאת,infreq,31.413385
4,n,"Tafsir Rasag, Genesis 5:5","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פצאר גמיע עמרה תסע מאיה ותלתין סנה תם מאת,infreq,31.60187
5,n,"Tafsir Rasag, Genesis 5:4","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פעאש בעד דלך תמאן מאיה סנה אולד פיהא בנין ובנאת,infreq,31.463583
6,n,"Tafsir Rasag, Leviticus 27:3","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פיכון קימה אלדכר מן עשרין סנה אלי סתין סנה כמסין מתקאל פצה במתקאל אלקדס,infreq,35.753433
7,n,"Tafsir Rasag, Genesis 47:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,ועאש יעקוב פי בלד מצר סבע עשרה סנה פצאר גימיע עמרה סני חיותה מאיה וסבעא וארבעין סנה,infreq,31.814373
8,n,Rashi on Genesis 7:22:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,אשר בחרבה ולא דגים שבים (סנה’ ק”ח):,infreq,38.282597
9,--,Rashi on Deuteronomy 33:16:1,On Your Way,he,ורצון שכני סנה. כמו שוכן סנה ותהא ארצו מבורכת מרצונו ונחת רוחו של הקדוש ברוך הוא הנגלה עלי תחלה בסנה:,infreq,32.68028
10,n,"Tafsir Rasag, Genesis 31:41","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,הדיא לי עשרון סנה פי מנזלך כידמתך מנהא ארבע עשרה סנה בבנתיך וסת סנין פי גנמך פבדלת אגירתי עשרה אעדאד,infreq,32.738132
11,n,"Tafsir Rasag, Genesis 9:28","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,תם עאש נוח בעד אלטופאן תלת מאיה וכמסין סנה,infreq,31.413385
12,n,"Tafsir Rasag, Genesis 5:31","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פצאר גמיע עמרה סבע מאיה סנה וסבע וסבעין סנה תם מאת,infreq,35.753433
13,--,"Chizkuni, Deuteronomy 33:15:3",Chizkuni,he,"ורצון שכני סנה רצון של שוכן סנה יהי כן.
",infreq,44.496227
14,n,"Tafsir Rasag, Numbers 8:25","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,ומן אבן כמסין סנה ירגע ענה ולא יכדמה אבדא,infreq,31.492392
15,n,"Tafsir Rasag, Numbers 4:35","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה כל מן ידכל ללגיש לכדמה כבא אלמחצר,infreq,35.59698
16,n,"Tafsir Rasag, Numbers 4:30","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה כל מן ידכל ללגיש לכדמה כבא אלמחצר,infreq,35.59698
17,n,"Tafsir Rasag, Genesis 14:4","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,אתינתי עשר סנה אטאעו כדרלעמר ופי אלתאלתה עשרה עצוה,infreq,31.60187
18,n,"Tafsir Rasag, Numbers 4:23","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,מן אבן תלתין סנה פצאעדא אלי אבן כמסין סנה תעדהם כל מן ידכל ללגיש לכדמה כבא אלמחצר,infreq,31.814373
19,n,"Tafsir Rasag, Numbers 4:3","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,מן אבן תלתין סנה פצאעדא אלי כמסין סנה כל מן ידכל ללגיש ליעמל צנאעה פי כבא אלמחצר,infreq,31.814373
20,--,Ibn Ezra on Deuteronomy 33:16:3,On Your Way,he,ורצון שכני סנה. הוא השמים,infreq,44.24262
21,--,Ibn Ezra on Deuteronomy 33:16:2,Ibn Ezra on Devarim -- Torat Emet,he,ומלואה. מאשר היא מלאה: ורצון שכני סנה. הוא השמים:,infreq,31.463583
22,n,"Tafsir Rasag, Genesis 23:1","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,וכאן עמר סארה מאיה וסבע ועשרין סנה סני חיותהא,infreq,31.463583
23,n,"Tafsir Rasag, Leviticus 25:13","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,ופי הדה סנה אלאטלאק ירגע כל אמר אלי חוזה,infreq,31.463583
24,n,"Tafsir Rasag, Genesis 11:22","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,ולמא עאש שרוג תלתין סנה אולד נחור,infreq,37.79087
