Yevamot 37a:55-56,Yevamot 37a:56-37b:2
Sotah 47b:35-38,Yevamot 117b:30-32
Ketubot 56b:26-32,Ketubot 54b:25-28
Bava Kamma 63a:27-63b:12,Bava Kamma 108b:44-49
Yevamot 12a:35-39,Yevamot 107b:12-16
Pesachim 84a:48,Makkot 16a:4-5
Menachot 61a:43-61b:2,Sukkah 47b:26-30
Bava Batra 56b:3-11,Bava Kamma 70a:33-70b:4
Eruvin 31a:32-31b:5,Pesachim 35b:3-11
Sukkah 22b:2-4,Sukkah 22a:32-22b:2
Menachot 37a:31-36,Eruvin 95b:41-46
Yevamot 112b:29-33,Yevamot 114b:7-10
Menachot 6b:50-55,Zevachim 63a:7-11
Gittin 73a:8-13,Yevamot 110a:20-24
Sanhedrin 28b:88-89,Kiddushin 66b:40-41
Bava Metzia 93b:58-60,Bava Kamma 108b:27-30
Menachot 23b:41-42,Zevachim 110a:47-49
Bekhorot 19b:20-30,Yevamot 119a:11-23
Eruvin 55a:28-30,Eruvin 57b:32-34
Yevamot 14a:36,Shabbat 46a:28
Sukkah 47b:21-24,Menachot 61b:6-10
Sukkah 4a:6-8,Eruvin 79a:5-6
Kiddushin 49a:5-15,Bava Batra 165a:5-16
Chullin 140a:21-22,Kiddushin 57a:54-55
Shevuot 21b:5-10,Temurah 3b:37-41
Yevamot 96a:13-16,Yevamot 54b:59-55a:1
Sanhedrin 62a:20-21,Shabbat 70a:31-33
Yoma 15a:4-7,Pesachim 59a:6-9
Bava Kamma 40a:27-33,Makkot 2b:49-55
Shabbat 135a:34-37,Shabbat 129a:18-20
Ketubot 103b:79-82,Makkot 24a:6-7
Chullin 88b:5-8,Zevachim 27b:16-19
Moed Katan 24a:63-24b:2,Kiddushin 80b:27-29
Kiddushin 69b:31-37,Ketubot 24b:47-53
Gittin 37a:80-84,Kiddushin 8b:5-7
Shabbat 42a:2-7,Zevachim 91b:76-92a:4
Shevuot 20a:43-47,Nedarim 12a:10-12
Shabbat 122a:31-32,Shabbat 151a:28-29
Chullin 39a:16-17,Zevachim 10a:7-8
Megillah 18b:39-42,Taanit 12a:53-12b:1
Niddah 55a:38-42,Chullin 122a:29-30
Bava Batra 31b:33-32a:12,Ketubot 26a:31-26b:13
Pesachim 84b:71-85a:2,Pesachim 84b:69-70
Kiddushin 44a:56-60,Shevuot 38a:5-9
Ketubot 61b:44-52,Makkot 21a:41-50
Yevamot 89b:2-5,Temurah 5a:23-28
Bava Batra 142b:21-26,Ketubot 7b:24-29
Shevuot 16b:48-55,Berakhot 34b:5-10
Yoma 5a:15-16,Zevachim 6a:38-42
Bava Kamma 15b:6-11,Ketubot 41b:9-14
Bava Batra 86b:13-16,Bava Batra 106b:29-31
Pesachim 11a:17-25,Menachot 68a:13-17
Chullin 117b:16-18,Chullin 119b:14-16
Nazir 24a:6-10,Menachot 4b:25-29
Berakhot 33a:90-91,Berakhot 26b:5-6
Shabbat 136b:15-137a:1,Pesachim 72a:31-34
Avodah Zarah 14b:39-42,Pesachim 53a:39-43
Yoma 39b:29-30,Yoma 21b:8-10
Sotah 26a:52-26b:2,Sotah 26b:15-16
Bava Metzia 36b:53-37a:5,Bava Metzia 37a:3-7
Shabbat 70b:15-20,Shabbat 96b:65-70
Chagigah 9b:48-10a:3,Makkot 7b:52-58
Bava Kamma 68b:13-17,Bava Kamma 77b:8-12
Sanhedrin 102a:46-51,Berakhot 32a:17-22
Nazir 14b:8-9,Menachot 78b:18-19
Niddah 18b:10-19,Kiddushin 80a:18-31
Shabbat 127b:104-128a:8,Eruvin 31b:26-38
Nazir 64b:23-65a:2,Bava Batra 101b:20-102a:2
Menachot 48a:26-30,Zevachim 77a:16-19
Nedarim 87a:18-19,Nedarim 87a:23-87b:1
Yoma 52b:19-20,Bava Batra 14a:56-58
Bava Batra 105a:13-15,Bava Metzia 102b:20-23
Sotah 23a:1-2,Sotah 24a:3-4
Nazir 34b:27,Nazir 35b:6
Bava Kamma 15a:36-38,Zevachim 70a:22
Taanit 18b:2-6,Megillah 5b:18-23
Shevuot 2b:31-33,Shevuot 13b:18-19
Bava Kamma 7b:37-8a:1,Bava Kamma 7b:36-38
Eruvin 94b:26-32,Eruvin 25a:64-25b:1
Shevuot 37b:57-58,Bava Kamma 62b:30
Chullin 14a:2-4,Chullin 15a:36-38
Menachot 89a:46-48,Zevachim 11b:60-64
Arakhin 9b:16-17,Shabbat 87b:40-41
Eruvin 100b:33-37,Bava Batra 7b:29-34
Pesachim 77b:55-57,Pesachim 79a:3-5
Berakhot 51b:65-70,Sukkah 56a:19-27
Zevachim 14b:12-20,Zevachim 68b:7-15
Yevamot 106a:3-10,Ketubot 74a:13-21
Bava Batra 136b:6-12,Bava Metzia 96a:40-47
Bava Batra 86b:14-16,Bava Batra 106b:30-31
Nazir 35b:5-6,Bava Kamma 63a:13-15
Shabbat 54a:77-54b:2,Beitzah 29a:69-29b:2
Chullin 33a:18-19,Chullin 121b:32-34
Kiddushin 74a:38-41,Ketubot 13a:46-50
Bava Kamma 81b:77-78,Bava Kamma 114b:65-66
Menachot 6b:42-45,Menachot 48b:25-49a:1
Yoma 55b:19-56a:1,Eruvin 36b:25-37a:2
Menachot 89a:46-49,Zevachim 11b:61-65
Sanhedrin 20a:51-54,Moed Katan 27a:17-20
Berakhot 51b:34-36,Sukkah 56a:17-22
Eruvin 49a:29-30,Pesachim 16a:42-43
Pesachim 71a:34-44,Pesachim 70b:43-71a:11
Sanhedrin 95b:7-8,Taanit 8a:13-14
Kiddushin 5a:34-38,Bekhorot 5b:63-68
Avodah Zarah 74b:5-9,Bava Batra 146a:12-15
Menachot 25b:14-17,Pesachim 77a:37-42
Gittin 53b:23-28,Bava Kamma 71a:37-42
Yevamot 118a:35-38,Yevamot 119b:15-18
Shabbat 7a:2-4,Eruvin 67b:10-13
Bekhorot 47a:5-8,Yevamot 62a:43-47
Pesachim 26b:5-8,Bava Metzia 30a:22-24
Niddah 13a:65-66,Avodah Zarah 70b:43-45
Bekhorot 57a:4-5,Gittin 25a:10-11
Yoma 44a:13-17,Zevachim 88b:45-49
Avodah Zarah 32b:20-27,Avodah Zarah 48b:21-28
Gittin 70b:23-24,Yevamot 120b:39-41
Sanhedrin 55b:14-15,Sanhedrin 69a:48-69b:1
Beitzah 37b:34-44,Beitzah 10a:51-62
Menachot 83b:14-16,Pesachim 96b:39-41
Horayot 4b:28-31,Sanhedrin 90a:14-15
Bekhorot 18a:56-18b:2,Bekhorot 18b:15-18
Gittin 33a:25-32,Yevamot 90b:8-13
Menachot 26b:32-41,Temurah 14a:46-55
Arakhin 31a:50-31b:2,Megillah 27b:33-38
Megillah 20a:8-10,Berakhot 15a:70-71
Sanhedrin 25a:25-28,Sanhedrin 9b:17-20
Bava Kamma 10a:11-12,Bava Kamma 43b:21
Shevuot 42b:26-29,Bava Batra 174b:50-52
Sanhedrin 10a:28-38,Makkot 2b:12-24
Zevachim 11b:62-65,Pesachim 59a:6-9
Yoma 80a:54-80b:1,Chullin 52b:10-13
Sanhedrin 109a:9-15,Taanit 21a:67-72
Zevachim 100a:37-38,Nazir 48b:18-19
Yoma 41a:26-41b:2,Keritot 28a:40-46
Nazir 6b:23-29,Nazir 6b:23-7a:1
Sanhedrin 53b:2-5,Yevamot 20a:36-40
Sanhedrin 71b:50-53,Sanhedrin 71b:50-72a:1
Menachot 12a:3,Menachot 17a:7-8
Yoma 14a:36-14b:2,Niddah 9a:46-62
Arakhin 4b:100-5a:8,Temurah 11a:50-11b:5
Megillah 11b:25-26,Arakhin 12a:43-12b:1
Sanhedrin 105b:13-15,Avodah Zarah 4b:25-27
Arakhin 7a:15-21,Bava Batra 175b:44-50
Bava Metzia 63a:42-49,Arakhin 31a:44-49
Sotah 22a:11-20,Berakhot 47b:26-32
Sanhedrin 88a:24-31,Sotah 45b:39-46
Beitzah 37b:35-44,Beitzah 10a:51-62
Menachot 37a:30-35,Eruvin 95b:40-45
Menachot 36b:37-41,Shabbat 12a:10-13
Shabbat 147b:60-61,Eruvin 13b:11-14
Eruvin 87b:8-12,Eruvin 76b:30-77a:5
Bava Metzia 36b:7-12,Bava Kamma 11b:23-27
Eruvin 36b:26-37a:3,Sukkah 23b:9-24a:1
Chullin 69b:56-70a:1,Zevachim 80a:23-25
Chullin 81b:17-18,Bava Metzia 90b:41-47
Bava Kamma 96b:65-71,Bava Metzia 100b:33-39
Pesachim 64b:75-77,Zevachim 37a:30-31
Ketubot 98a:34-35,Ketubot 99b:37-39
Sukkah 47b:20-31,Makkot 18b:37-49
Meilah 11a:7-11,Nazir 24a:6-10
Gittin 81a:23-28,Ketubot 36b:31-36
Keritot 22a:7-12,Ketubot 60a:34-37
Yoma 84b:54-85a:3,Ketubot 15b:10-13
Bava Kamma 71b:8-11,Ketubot 34a:35-38
Zevachim 5a:40-44,Zevachim 5a:45-5b:4
Shevuot 21b:6-10,Temurah 3b:39-41
Menachot 25b:4-5,Pesachim 16b:12-13
Moed Katan 15b:28-31,Taanit 13a:29-34
Pesachim 20a:8-10,Menachot 102b:18-24
Bava Batra 136a:54-136b:3,Yevamot 36b:7-13
Zevachim 16b:6,Bava Kamma 88a:25
Yevamot 46a:64-68,Menachot 82a:35-42
Shevuot 23b:27-28,Shevuot 36b:34-36
Menachot 99b:3-5,Moed Katan 17a:70-72
Eruvin 103b:20-104a:5,Zevachim 19a:7-29
Bekhorot 16a:23-25,Zevachim 37b:5-7
Nazir 37a:29-37b:1,Pesachim 44b:20-30
Bava Kamma 63b:6-13,Bava Kamma 108b:46-50
Eruvin 72b:42-44,Eruvin 85b:30-33
Shabbat 26b:2-4,Menachot 39b:38-40
Zevachim 2a:16-20,Zevachim 7b:2-8
Yoma 7a:32-7b:2,Zevachim 23b:1-4
Ketubot 54a:70-71,Arakhin 24a:20-21
Moed Katan 28a:90-91,Makkot 10a:46-47
Sanhedrin 112b:13-18,Bava Kamma 76a:4-10
Yoma 54a:57-58,Ketubot 106a:41-42
Bekhorot 39b:66-40a:5,Pesachim 86a:39-42
Menachot 104a:24-30,Menachot 107a:42-49
Niddah 43a:13-23,Niddah 13a:19-30
Yevamot 83b:50-84a:2,Bekhorot 42a:18-29
Menachot 25b:53-58,Pesachim 80b:23-29
Bekhorot 43b:73-44a:4,Bekhorot 44a:1-4
Nazir 19a:11-16,Bava Kamma 91b:30-35
Avodah Zarah 47a:21-26,Sukkah 33a:27-31
Yevamot 37b:57-70,Ketubot 109b:25-38
Eruvin 62b:18-20,Eruvin 47a:10-12
Yevamot 62a:8-10,Shabbat 87a:17-20
Pesachim 35b:5-10,Eruvin 31a:33-31b:6
Bava Batra 49b:7-11,Ketubot 95a:16-22
Bava Kamma 100a:11-14,Bava Kamma 117b:7-9
Sanhedrin 69a:2-3,Bava Kamma 109b:9-10
Shevuot 2b:31-33,Menachot 92a:25-27
Yoma 39a:43-45,Sotah 42a:32-35
Sanhedrin 41a:26-28,Sanhedrin 72b:47-49
Ketubot 41b:18-37,Bava Kamma 15b:15-34
Nazir 22a:11-13,Bava Kamma 91b:34-36
Gittin 9b:19-20,Bava Batra 135b:23-24
Meilah 12b:20-21,Temurah 31b:58-64
Nedarim 86a:2-4,Ketubot 59a:49-51
Eruvin 74a:14-18,Eruvin 91a:19-25
Makkot 6b:34-40,Makkot 9b:28-34
Eruvin 99a:50-52,Shabbat 11a:58-11b:1
Eruvin 39a:39-43,Eruvin 38a:5-8
Sanhedrin 55b:14-15,Niddah 44b:24-26
Chullin 89b:14-17,Chullin 100b:13-15
Keritot 6a:31-32,Pesachim 26a:36-37
Megillah 10b:40-43,Sotah 10b:11-13
Sanhedrin 15a:47-52,Shevuot 42b:36-42
Gittin 71b:33-72a:4,Gittin 66b:34-67a:2
Rosh Hashanah 7a:6-7,Pesachim 6b:6
Nazir 65a:1-2,Bava Batra 101b:20-102a:2
Shevuot 43a:1-4,Bava Kamma 117b:44-46
Bekhorot 16b:17-20,Bava Metzia 70b:13-15
Eruvin 49a:29-30,Zevachim 70a:22
Eruvin 82b:29-35,Pesachim 88a:39-45
Chullin 107b:67-108a:2,Moed Katan 14a:14-21
Menachot 87b:61-63,Menachot 87b:68-88a:3
Nazir 41a:2-3,Yevamot 20b:37
Bekhorot 38b:27-29,Yevamot 77a:6-8
Bava Kamma 54a:9-10,Zevachim 4b:38-40
Megillah 21b:11-17,Pesachim 7b:31-40
Pesachim 52b:28-31,Berakhot 33b:30-33
Moed Katan 5b:21-24,Pesachim 92b:3-6
Yevamot 88b:44-48,Yevamot 117b:30-32
Zevachim 57a:55,Yoma 56b:39-41
Bava Kamma 63b:3-12,Shevuot 49a:27-34
Berakhot 36a:38-43,Eruvin 28b:58-64
Nazir 42a:24-26,Bava Kamma 105a:19-22
Bava Kamma 112a:32-33,Bava Batra 86a:25-27
Shevuot 12a:16-19,Yoma 50a:44-48
Bava Metzia 7b:34-39,Bava Metzia 107a:30-35
Zevachim 46a:15-18,Pesachim 26a:36-40
Shabbat 78a:51-56,Shabbat 79a:44-50
Bava Metzia 3a:29-32,Bava Metzia 5a:14-15
Yoma 73a:11-13,Horayot 12b:16-18
Bava Kamma 68b:13-17,Zevachim 107b:39-45
Shevuot 23a:8-13,Yoma 76a:54-76b:3
Nedarim 36a:27-28,Pesachim 89a:32-34
Bekhorot 51a:28-31,Bava Kamma 117b:44-46
Nazir 9b:11-14,Menachot 103a:3-9
Bava Metzia 81a:53-59,Bava Metzia 81a:65-81b:5
Bava Metzia 56a:13-16,Bava Batra 143a:16-21
Pesachim 7b:31-40,Sukkah 39a:17-24
Chullin 26b:16-19,Ketubot 40b:32-33
Menachot 39b:38-40,Yevamot 4b:11-12
Kiddushin 59a:69-59b:1,Sukkah 13b:35-14a:2
Sukkah 28b:22-28,Eruvin 82a:43-54
Kiddushin 25b:17-23,Bava Kamma 11b:9-16
Pesachim 113b:71-73,Yoma 52b:2-5
Megillah 28a:2-6,Chullin 132b:46-50
Sotah 9a:14-18,Yevamot 78a:32-34
Yoma 84b:54-85a:3,Ketubot 15b:1-5
Sanhedrin 28b:31-32,Ketubot 53a:55-56
Gittin 30b:32-31a:2,Beitzah 13b:4-8
Nedarim 35b:24-27,Bava Metzia 104a:29-30
Gittin 13b:11-15,Gittin 65b:39-45
Sanhedrin 88a:45-48,Makkot 16b:2-6
Gittin 57b:5-11,Sanhedrin 96b:22-31
Shevuot 37b:8-9,Bava Kamma 65a:23
Chullin 129b:19-21,Chullin 129a:39-129b:1
Megillah 23b:32-39,Sanhedrin 15a:31-36
Gittin 48a:7-9,Chullin 39a:16-17
Yevamot 18a:11-13,Yevamot 30a:38-30b:1
Ketubot 53a:55-56,Bava Metzia 18a:4-5
Megillah 20a:42-20b:5,Megillah 20b:1-5
Pesachim 43a:6-9,Menachot 86a:12-15
Shevuot 36a:50-54,Sanhedrin 66a:10-12
Yoma 79b:47-52,Pesachim 49b:55-59
Shabbat 59b:1-7,Shabbat 138a:10-15
Tamid 29a:11-18,Chullin 90b:23-29
Rosh Hashanah 27b:3-4,Rosh Hashanah 28b:12-13
Shevuot 21b:33-39,Shevuot 22b:29-37
Sotah 48a:77-78,Shabbat 119b:52-55
Meilah 14a:27-14b:3,Keritot 6a:64-67
Meilah 20b:13-17,Nedarim 54b:7-13
Kiddushin 56b:44-57a:8,Pesachim 22b:26-40
Avodah Zarah 6b:59-61,Moed Katan 9b:48-51
Pesachim 96b:39-41,Zevachim 9a:49-52
Pesachim 76a:52-54,Bava Batra 174a:17-19
Chullin 73b:16-17,Chullin 127b:4-6
Zevachim 4a:36-40,Zevachim 7a:13-19
Kiddushin 77b:6,Makkot 21a:59-60
Shabbat 148b:11-13,Bava Metzia 75a:8-10
Shabbat 14b:37-41,Eruvin 21b:55-59
Shabbat 45b:27-30,Beitzah 27b:34-37
Bava Kamma 92a:61-70,Makkot 11b:4-11
Menachot 86a:12-15,Moed Katan 9b:68-71
Bava Metzia 14b:47-49,Bava Metzia 72b:12-13
Yevamot 80a:14-17,Yevamot 97a:6-10
Sanhedrin 22b:61-66,Moed Katan 5a:37-45
Pesachim 119a:41-119b:2,Sukkah 39a:11-15
Shevuot 2b:27-30,Menachot 92a:31-33
Yevamot 93b:42,Yevamot 115a:26-27
Bava Kamma 10a:6-7,Bava Kamma 43b:21
Arakhin 25b:14-17,Bava Batra 108b:15-109a:2
Shabbat 148a:42-148b:6,Beitzah 30a:15-25
Shevuot 42a:69-42b:5,Ketubot 18a:12-18b:1
Menachot 12a:1-6,Zevachim 29b:28-34
Yoma 62b:34-38,Tamid 31b:42-48
Berakhot 15b:2-18,Megillah 19b:24-42
Avodah Zarah 42a:41-45,Avodah Zarah 48b:53-57
Sanhedrin 72b:46-49,Makkot 9b:31-34
Pesachim 35b:3-14,Shabbat 127b:75-86
Menachot 17a:7-8,Zevachim 64b:57-58
Bava Kamma 112a:27-31,Ketubot 34b:23-26
Zevachim 10b:39-44,Zevachim 10b:73-11a:10
Chullin 88b:5-8,Zevachim 84a:34-84b:1
Kiddushin 27a:7-17,Bava Batra 150b:27-151a:1
Gittin 33a:26-32,Yevamot 90b:8-13
Bava Kamma 66b:27-29,Ketubot 42b:22-24
Menachot 36b:25-26,Menachot 99b:6-8
Bava Batra 109b:2-6,Bava Metzia 27a:36-39
Shabbat 32b:50-54,Taanit 7b:17-21
Ketubot 12b:18-22,Bava Metzia 97b:15-19
Niddah 27b:22-26,Chullin 124b:7-10
Yevamot 36a:25-28,Yevamot 119b:10-13
Pesachim 77b:63-68,Zevachim 104a:22-28
Avodah Zarah 31a:18-21,Avodah Zarah 49b:14-18
Bekhorot 5b:63-68,Kiddushin 41b:21-26
Megillah 6a:57-62,Pesachim 42b:10-13
Bekhorot 15b:50,Bekhorot 14a:2
Bava Kamma 66b:27-28,Ketubot 42b:22-23
Megillah 27b:22-36,Arakhin 31a:39-31b:2
Sanhedrin 37a:8-9,Sotah 45a:17-18
Meilah 11a:26-11b:1,Yoma 59b:4-60a:1
Pesachim 36b:34-37a:27,Beitzah 22b:5-33
Shabbat 151a:50-53,Shabbat 40b:54-60
Shevuot 22b:46-48,Nazir 42a:44-46
Bava Batra 138b:8-11,Bava Batra 71a:1-7
Menachot 3b:15-16,Zevachim 9b:35-37
Temurah 2a:14-19,Menachot 93a:12-17
Shevuot 2b:31-33,Yoma 61a:15-17
Avodah Zarah 42a:35-37,Avodah Zarah 49b:34-36
Bekhorot 5b:63-67,Bekhorot 43a:35-39
Shevuot 44a:10-44b:6,Bava Metzia 82a:22-82b:4
Bava Kamma 6b:10-11,Bava Kamma 3b:1-4
Kiddushin 14a:36-42,Chullin 24a:3-11
Pesachim 10a:29-32,Bekhorot 25b:39-42
Yevamot 98a:34-37,Yevamot 77a:5-8
Bava Metzia 81a:55-60,Bava Metzia 97a:34-38
Beitzah 10a:17-19,Beitzah 11a:26-29
Menachot 57b:39,Zevachim 115b:6
Megillah 14b:27-30,Arakhin 33a:19-25
Gittin 33a:28-33,Ketubot 3a:3-8
Nazir 65b:21-27,Niddah 19a:37-41
Moed Katan 5a:37-41,Zevachim 18b:73-77
Bekhorot 37a:55-58,Menachot 20a:37-41
Berakhot 32b:24-26,Berakhot 54b:103-55a:3
Shabbat 41a:10-12,Ketubot 27a:30-33
Sanhedrin 68b:1-2,Niddah 52a:16-17
Shabbat 93b:34-36,Shabbat 107a:10-12
Ketubot 2b:38-41,Gittin 30a:7-11
Sukkah 15a:43-15b:5,Eruvin 15b:52-56
Zevachim 5b:2-4,Zevachim 12b:32-34
Chullin 14a:7-10,Beitzah 6b:1-4
Menachot 25a:5-9,Zevachim 23b:2-4
Shevuot 31b:36-39,Shevuot 36b:19-21
Ketubot 102a:19-28,Bava Batra 175a:31-175b:9
Pesachim 46b:11-17,Pesachim 62a:9-14
Kiddushin 13b:17-19,Bekhorot 48a:26-48b:3
Bava Metzia 82a:17-82b:2,Shevuot 44a:2-44b:6
Bekhorot 15a:3-7,Temurah 33b:28-32
Rosh Hashanah 7a:58-60,Rosh Hashanah 8b:18-20
Bava Batra 91b:74-92a:2,Bava Batra 93b:14-17
Menachot 71a:41-46,Pesachim 56a:48-53
Eruvin 59b:5-9,Eruvin 95a:56-60
Nedarim 60a:20-24,Kiddushin 64b:33-37
Sanhedrin 79a:22-30,Bava Kamma 44b:25-33
Yevamot 65b:39-41,Yoma 73a:20-22
Bava Metzia 79b:20-24,Avodah Zarah 65a:59-63
Nedarim 5b:5-7,Gittin 85a:60-85b:2
Zevachim 34a:22-26,Zevachim 46b:21-27
Berakhot 31a:39-42,Sotah 46b:67-69
Chullin 22b:3-8,Chullin 22a:31-22b:4
Bava Metzia 30a:23-24,Pesachim 26b:5-8
Avodah Zarah 8b:39-42,Pesachim 118b:26-29
Bava Kamma 63b:4-12,Shevuot 49a:27-34
Gittin 66a:27-32,Yevamot 122a:31-36
Berakhot 16b:3-5,Ketubot 6b:19-21
Megillah 32a:38-45,Shabbat 14a:38-45
Yoma 79a:13-79b:2,Sukkah 27a:2-3
Bava Batra 65b:11-13,Bava Batra 68b:39-42
Nedarim 22a:4-7,Nedarim 23a:29-33
Sanhedrin 22a:47-48,Gittin 90b:14-16
Berakhot 20a:34-39,Bava Batra 118a:18-118b:8
Gittin 71b:13-15,Yevamot 113b:11-14
Menachot 25a:5-8,Zevachim 23b:1-3
Bava Batra 175a:30-175b:2,Ketubot 102a:19-23
Sanhedrin 88b:1-3,Sotah 25a:57-59
Megillah 3a:57-3b:1,Eruvin 63b:3-11
Bava Kamma 77b:8-13,Bava Metzia 90b:41-48
Rosh Hashanah 20a:55-58,Sukkah 54b:25-28
Yevamot 92b:38-93a:5,Kiddushin 63a:14-19
Bava Metzia 11a:15-17,Bava Metzia 102a:17-20
Bava Batra 80b:6-10,Shabbat 95a:29-33
Yevamot 82a:25-28,Pesachim 9b:35-38
Pesachim 63b:25-28,Makkot 15b:19-16a:2
Yevamot 61b:10-11,Bava Kamma 39b:40-43
Berakhot 33a:90,Berakhot 29a:74
Eruvin 27b:39-42,Nazir 35b:5-7
Moed Katan 22a:45-22b:3,Moed Katan 22b:44-47
Sukkah 28a:15-23,Bava Batra 134a:16-26
Sanhedrin 88a:33-38,Nazir 46b:14-19
Sanhedrin 23b:46-48,Zevachim 104a:19-22
