1 : 
36 : p
0 : *BOS*
39 : p03
38 : p02
37 : p01
34 : n04
30 : n
22 : V05
21 : V04
23 : V06
18 : V01
20 : V03
19 : V02
25 : V09
24 : V08
14 : N05
13 : N04
17 : PN
12 : N03
11 : N02
8 : I
9 : N
16 : P
10 : N01
15 : N101
35 : n05
7 : GN
31 : n01
33 : n03
32 : n02
28 : a
29 : c
3 : A02
4 : A03
26 : V10
2 : A01
5 : A04
6 : A05
27 : V12
